,sku,cat1,cat2,cat3
161,0100071050,salud,vitaminas y minerales,suplementos
162,0100183885,salud,botiquín,control de glucosa
163,01004,higiene y cuidado personal,facial,mascarillas
164,0101066,infantil,higiene infantil,gel-champú
165,0101375,infantil,higiene infantil,colonias
166,0101378,infantil,higiene infantil,colonias
167,0101379,infantil,higiene infantil,colonias
168,0101836218,salud,vitaminas y minerales,suplementos
169,010296,salud,vitaminas y minerales,multivitamínicos
170,010401,infantil,juguetes,para el baño
171,010573,infantil,lactancia,accesorios de extracción
172,010609,nutrición,pérdida de peso,drenajes
173,010731,salud,vitaminas y minerales,suplementos
174,010746,salud,vitaminas y minerales,suplementos
175,010758,salud,trastornos digestivos ,flora intestinal y digestión
176,010760,salud,problemas cardiovasculares y circulación,
177,010777,nutrición,pérdida de peso,drenajes
178,010784,salud,vitaminas y minerales,suplementos
179,010791,nutrición,pérdida de peso,quemagrasas
180,010814,salud,descanso y relajación,
181,010821,salud,problemas cardiovasculares y circulación,
182,010876,salud,descanso y relajación,
183,010913,salud,problemas cardiovasculares y circulación,
184,010920,salud,descanso y relajación,
185,010937,salud,trastornos digestivos ,función hepática
186,010944,salud,descanso y relajación,nerviosismo y estrés
187,010968,nutrición,pérdida de peso,drenajes
188,010975,salud,aparato urinario,cistitis
189,011002,nutrición,pérdida de peso,quemagrasas
190,011004,salud,ortopedia,lesiones
191,011005,salud,ortopedia,lesiones
192,011026,salud,trastornos digestivos ,estreñimiento
193,011033,salud,problemas cardiovasculares y circulación,
194,011099,salud,problemas cardiovasculares y circulación,colesterol
195,011141,salud,aparato respiratorio,garganta y tos
196,011450,higiene y cuidado personal,dental,hilo dental
197,011606,nutrición,pérdida de peso,drenajes
198,011894,infantil,cambio de pañal,pañales
199,011896,infantil,cambio de pañal,pañales
200,011897,infantil,cambio de pañal,pañales
201,011898,infantil,cambio de pañal,pañales
202,011899,infantil,cambio de pañal,pañales
203,011908,infantil,cambio de pañal,pañales
204,011910,higiene y cuidado personal,íntima,compresas
205,012776,salud,vitaminas y minerales,suplementos
206,012893,higiene y cuidado personal,íntima,compresas
207,012CLA.bla,infantil,chupetes,chupetes personalizados
208,012CLA.gri,infantil,chupetes,chupetes personalizados
209,012CLA.men,infantil,chupetes,chupetes personalizados
210,012CLA.mor,infantil,chupetes,chupetes personalizados
211,012CLA.purazu,infantil,chupetes,chupetes personalizados
212,012CLA.purros,infantil,chupetes,chupetes personalizados
213,012CLA.ros,infantil,chupetes,chupetes personalizados
214,012CLAD,infantil,chupetes,chupetes personalizados
215,012CLADI16.06AnaLa6,infantil,chupetes,chupetes de latex o caucho
216,013687,infantil,cambio de pañal,pañales
217,013805,higiene y cuidado personal,íntima,compresas
218,013BP,infantil,chupetes,chupetes personalizados
219,014417,higiene y cuidado personal,facial,mascarillas
220,014418,higiene y cuidado personal,facial,mascarillas
221,014421,higiene y cuidado personal,facial,exfoliantes
222,014422,higiene y cuidado personal,facial,exfoliantes
223,014424,higiene y cuidado personal,facial,exfoliantes
224,014425,cosmética y belleza,corporal,hidratación
225,014426,cosmética y belleza,corporal,hidratación
226,014427,cosmética y belleza,corporal,hidratación
227,014428,cosmética y belleza,corporal,hidratación
228,014655,higiene y cuidado personal,facial,desmaquillantes y limpiadores
229,014702,higiene y cuidado personal,íntima,tampones
230,014734,salud,belleza,celulitis
231,014812,salud,vitaminas y minerales,multivitamínicos
232,015081,higiene y cuidado personal,íntima,protegeslip
233,015503,cosmética y belleza,ojos,pestañas
234,015511,higiene y cuidado personal,facial,desmaquillantes y limpiadores
235,015537,cosmética y belleza,ojos,pestañas
236,015BA,infantil,chupetes,chupetes personalizados
237,017052,higiene y cuidado personal,limpieza hogar,ambientadores y velas
238,0172015,cosmética y belleza,perfumería,infantil
240,0173104,higiene y cuidado personal,facial,desmaquillantes y limpiadores
241,017435,salud,belleza,antienvejecimiento
242,017533.1,higiene y cuidado personal,íntima,protegeslip
243,018062,higiene y cuidado personal,cabello,piojos
244,0184477,infantil,juguetes,educativos e interactivos
245,018520,salud,vitaminas y minerales,multivitamínicos
246,0186362,infantil,juguetes,educativos e interactivos
247,0186366,infantil,juguetes,educativos e interactivos
248,0186993,infantil,juguetes,educativos e interactivos
249,019007,infantil,juguetes,mordedores
250,0192-01,infantil,cambio de pañal,pañales
252,021100,higiene y cuidado personal,facial,mascarillas
253,022031,cosmética y belleza,facial,maquillajes
254,022044,higiene y cuidado personal,facial,desmaquillantes y limpiadores
255,022245,salud,botiquín,golpes y hematomas
256,022275,higiene y cuidado personal,corporal,exfoliantes
258,025BADE,infantil,chupetes,chupetes personalizados
259,025BADI08.VerdeAnaSi0-6,infantil,chupetes,chupetes de silicona
260,029454,salud,vitaminas y minerales,suplementos
261,03.268lila,cosmética y belleza,accesorios de belleza,peines o cepillos
262,03.268naranja,cosmética y belleza,accesorios de belleza,peines o cepillos
263,03.268Rosa,cosmética y belleza,accesorios de belleza,peines o cepillos
264,03.271.8,cosmética y belleza,accesorios de belleza,peines o cepillos
265,03.271.lila,cosmética y belleza,accesorios de belleza,peines o cepillos
266,03.271.naranja,cosmética y belleza,accesorios de belleza,peines o cepillos
267,03.271.rosa,cosmética y belleza,accesorios de belleza,peines o cepillos
268,03.284.Rosa,cosmética y belleza,accesorios de belleza,peines o cepillos
269,03.284.Verde,cosmética y belleza,accesorios de belleza,peines o cepillos
270,03.285.rosa,cosmética y belleza,accesorios de belleza,peines o cepillos
271,03.285.verde,cosmética y belleza,accesorios de belleza,peines o cepillos
272,030262,cosmética y belleza,corporal,hidratación
273,030270,cosmética y belleza,corporal,hidratación
274,030486,cosmética y belleza,facial,antimanchas
275,03050109,higiene y cuidado personal,cabello,anticaída
276,031189.crema,cosmética y belleza,corporal,hidratación
277,0316669,infantil,higiene infantil,colonias
278,031844,salud,mujer,menopausia
279,032010037,nutrición,alimentos,edulcorantes
280,032050203,salud,vitaminas y minerales,multivitamínicos
281,032050204,salud,vitaminas y minerales,multivitamínicos
282,032050279,salud,vitaminas y minerales,multivitamínicos
283,032050284,nutrición,nutrición deportiva,proteínas
284,032050285,nutrición,nutrición deportiva,proteínas
285,032050286,nutrición,nutrición deportiva,proteínas
288,032050324,nutrición,nutrición deportiva,complementos
289,032050326,nutrición,nutrición deportiva,proteínas
292,032050392,salud,aparato respiratorio,garganta y tos
293,032050393,salud,aparato respiratorio,garganta y tos
294,032050394,salud,belleza,cabello | uñas
295,032060102,cosmética y belleza,facial,acné
296,032060117,cosmética y belleza,facial,acné
297,032060127,higiene y cuidado personal,cabello,champu
298,032060130,cosmética y belleza,facial,antiarrugas
299,032060131,cosmética y belleza,facial,hidratantes
300,032060138,cosmética y belleza,facial,hidratantes
301,032060615,higiene y cuidado personal,facial,desmaquillantes y limpiadores
302,032060619,higiene y cuidado personal,facial,desmaquillantes y limpiadores
303,032060627,salud,problemas cardiovasculares y circulación,piernas cansadas y varices
304,032060628,cosmética y belleza,sol,protectores solares
305,032060629,cosmética y belleza,sol,protección nieve
306,03242amarillo,cosmética y belleza,accesorios de belleza,peines o cepillos
307,03242Azul,cosmética y belleza,accesorios de belleza,peines o cepillos
308,03242Rosa,cosmética y belleza,accesorios de belleza,peines o cepillos
309,032769,higiene y cuidado personal,dental,cepillos eléctricos
310,03280naranja,cosmética y belleza,accesorios de belleza,peines o cepillos
311,03280rosa,cosmética y belleza,accesorios de belleza,peines o cepillos
312,03280verde,cosmética y belleza,accesorios de belleza,peines o cepillos
313,03281naranja,cosmética y belleza,accesorios de belleza,peines o cepillos
314,03281rosa,cosmética y belleza,accesorios de belleza,peines o cepillos
315,03281verde,cosmética y belleza,accesorios de belleza,peines o cepillos
316,033829,higiene y cuidado personal,íntima,tampones
317,034181,cosmética y belleza,corporal,hidratación
318,036160,salud,óptica,líquido lentillas
319,036335,salud,óptica,líquido lentillas
320,040145,higiene y cuidado personal,cabello,tintes de pelo
321,04028,salud,aparato respiratorio,garganta y tos
322,040335,higiene y cuidado personal,cabello,champu
323,040420,higiene y cuidado personal,cabello,champu
324,040612,salud,salud sexual,accesorios
325,04075,salud,vitaminas y minerales,suplementos
326,040774,salud,problemas cardiovasculares y circulación,
327,041449,salud,vitaminas y minerales,suplementos
328,041497,higiene y cuidado personal,cabello,anticaída
329,041498,higiene y cuidado personal,cabello,anticaída
330,041525,salud,óptica,líquido lentillas
331,041533,salud,óptica,líquido lentillas
332,041640,salud,óptica,líquido lentillas
333,041657,salud,óptica,líquido lentillas
334,043701,higiene y cuidado personal,corporal,depilatorios
335,043702,higiene y cuidado personal,corporal,depilatorios
336,043704,higiene y cuidado personal,corporal,depilatorios
337,043707,cosmética y belleza,hombres,afeitado masculino
338,043715,cosmética y belleza,hombres,afeitado masculino
339,044050,cosmética y belleza,ojos,cejas
340,044381,infantil,accesorios de alimentación,baberos y otros
341,044382,infantil,accesorios de alimentación,baberos y otros
342,044383,infantil,accesorios de alimentación,baberos y otros
343,044384,infantil,accesorios de alimentación,baberos y otros
344,045BPD,infantil,chupetes,chupetes personalizados
345,046151,salud,descanso y relajación,
347,046153,salud,descanso y relajación,
348,046155,salud,trastornos digestivos ,función hepática
349,046156,salud,aparato respiratorio,pecho
350,046157,salud,problemas cardiovasculares y circulación,
351,046159,salud,descanso y relajación,
352,046160,higiene y cuidado personal,cabello,anticaída
353,046161,nutrición,pérdida de peso,quemagrasas
354,046210,salud,belleza,piel
355,047696,cosmética y belleza,sol,after-sun
356,048763,cosmética y belleza,ojos,contorno de ojos
357,049084,salud,vitaminas y minerales,minerales
358,049220,nutrición,pérdida de peso,quemagrasas
359,049846,cosmética y belleza,facial,antimanchas
360,049847,cosmética y belleza,facial,antimanchas
361,049848,cosmética y belleza,ojos,contorno de ojos
362,049CP,infantil,chupetes,chupetes personalizados
363,050008DIS,salud,aromaterapia,aceites esenciales
364,050025,nutrición,pérdida de peso,saciantes
366,050040,higiene y cuidado personal,cabello,champús especiales
367,050042,higiene y cuidado personal,cabello,champu
368,050043DIS,higiene y cuidado personal,cabello,champús especiales
369,050044,higiene y cuidado personal,cabello,champús especiales
370,050045IDS,higiene y cuidado personal,cabello,champús especiales
371,050046,higiene y cuidado personal,cabello,anticaspa
372,050050DIS,higiene y cuidado personal,cabello,antigrasa
373,050100,higiene y cuidado personal,cabello,tintes de pelo
374,050102,higiene y cuidado personal,cabello,tintes de pelo
375,050104,higiene y cuidado personal,cabello,tintes de pelo
376,050106,cosmética y belleza,facial,antiarrugas
377,050110,higiene y cuidado personal,cabello,tintes de pelo
378,050112,higiene y cuidado personal,cabello,tintes de pelo
379,050114,higiene y cuidado personal,cabello,tintes de pelo
380,050116,higiene y cuidado personal,cabello,tintes de pelo
381,050122DIS,higiene y cuidado personal,corporal,geles
382,050124,higiene y cuidado personal,cabello,tintes de pelo
383,050140DIS,higiene y cuidado personal,cabello,mascarillas
384,050145DIS,higiene y cuidado personal,cabello,anticaída
385,050168DIS,higiene y cuidado personal,corporal,geles
386,050174,cosmética y belleza,corporal,hidratación
387,050183,cosmética y belleza,ojos,pestañas
388,050187,cosmética y belleza,ojos,cejas
389,050214,higiene y cuidado personal,dental,colutorios
390,05070.negra,cosmética y belleza,uñas,limas y tratamiento uñas
391,05070.rosa,cosmética y belleza,uñas,limas y tratamiento uñas
392,050853,higiene y cuidado personal,dental,cepillos eléctricos
393,050854,higiene y cuidado personal,dental,cepillos eléctricos
394,050854.reg,higiene y cuidado personal,dental,cepillos
395,050PEI,infantil,higiene infantil,canastillas y kits bebé
396,051021,infantil,mobiliario y descanso del bebé,orinales
397,052103,infantil,accesorios de alimentación,cubiertos
398,052141,infantil,accesorios de alimentación,cubiertos
399,053362,cosmética y belleza,ojos,cejas
400,054185,salud,aparato respiratorio,garganta y tos
401,054397,higiene y cuidado personal,corporal,depilatorios
402,054403,cosmética y belleza,hombres,afeitado masculino
403,054408,cosmética y belleza,hombres,afeitado masculino
404,054410,cosmética y belleza,hombres,afeitado masculino
405,054413,cosmética y belleza,hombres,afeitado masculino
406,054653,higiene y cuidado personal,facial,mascarillas
407,055007,higiene y cuidado personal,dental,cepillos
408,055366,infantil,cambio de pañal,pañales
409,055844,infantil,cambio de pañal,pañales
410,055CAP,infantil,mobiliario y descanso del bebé,otros descanso del bebé
411,060095,higiene y cuidado personal,íntima,compresas
412,060103,higiene y cuidado personal,íntima,compresas
413,0601102,cosmética y belleza,labial,hidratantes labiales
414,06041,nutrición,alimentos,semillas y superalimentos
415,06047,salud,trastornos digestivos ,
417,06104,salud,aparato respiratorio,garganta y tos
418,0610500,cosmética y belleza,uñas,quitaesmalte
419,061110,higiene y cuidado personal,pies,callos
420,06134,salud,vitaminas y minerales,multivitamínicos
421,061507,higiene y cuidado personal,íntima,compresas
423,06195,salud,vitaminas y minerales,suplementos
424,06196,nutrición,nutrición deportiva,complementos
425,062151,cosmética y belleza,ojos,cejas
426,062181,higiene y cuidado personal,dental,cuidados especiales
427,062257,salud,aparato urinario,incontinencia
428,0632000,cosmética y belleza,uñas,limas y tratamiento uñas
429,0632100,cosmética y belleza,uñas,limas y tratamiento uñas
430,063384,cosmética y belleza,hombres,afeitado masculino
431,063396,higiene y cuidado personal,íntima,compresas
432,063397,higiene y cuidado personal,íntima,compresas
433,063399,infantil,cambio de pañal,pañales
434,063400,infantil,cambio de pañal,pañales
435,063401,infantil,cambio de pañal,pañales
436,06399,salud,vitaminas y minerales,suplementos
437,0650302,cosmética y belleza,uñas,pintauñas
438,0650326,cosmética y belleza,uñas,pintauñas
439,06621,cosmética y belleza,ojos,pestañas
440,0668914,cosmética y belleza,ojos,lapiz y sombra de ojos
441,0668915,cosmética y belleza,ojos,lapiz y sombra de ojos
442,0668924,cosmética y belleza,ojos,lapiz y sombra de ojos
443,066957,cosmética y belleza,ojos,contorno de ojos
444,067207,higiene y cuidado personal,dental,cepillos eléctricos
445,067214,higiene y cuidado personal,dental,cepillos eléctricos
446,067217,higiene y cuidado personal,dental,cepillos eléctricos
447,067602,higiene y cuidado personal,dental,cepillos eléctricos
448,067MOE,infantil,guardería,mochilas infantiles
449,068026,salud,vitaminas y minerales,suplementos
450,068957,cosmética y belleza,corporal,hidratación
451,0700000160,salud,belleza,cabello | uñas
452,0700000250,salud,vitaminas y minerales,minerales
453,0700000255,salud,vitaminas y minerales,multivitamínicos
455,0700000283,salud,vitaminas y minerales,suplementos
456,0700000287,salud,vitaminas y minerales,multivitamínicos
457,0700000303,salud,vitaminas y minerales,minerales
458,0700000315,salud,vitaminas y minerales,minerales
459,0700000333,salud,vitaminas y minerales,minerales
460,0700000334,salud,vitaminas y minerales,multivitamínicos
462,0700000425,salud,trastornos digestivos ,flora intestinal y digestión
463,0700000470,salud,trastornos digestivos ,flora intestinal y digestión
464,0700000914,salud,vitaminas y minerales,suplementos
465,0700000963,salud,descanso y relajación,
467,07022.Azul,cosmética y belleza,uñas,cortauñas y tijeras
468,07022.Rosa,cosmética y belleza,uñas,cortauñas y tijeras
469,07022.Verde,cosmética y belleza,uñas,cortauñas y tijeras
470,07093,salud,botiquín,golpes y hematomas
471,072983,salud,óptica,líquido lentillas
472,074235,infantil,juguetes,educativos e interactivos
473,077131,infantil,higiene infantil,toallitas bebé
474,0774202,cosmética y belleza,corporal,hidratación
475,078022,salud,ortopedia,lesiones
476,0800053602,nutrición,alimentos,cereales y harinas
477,0800101124,nutrición,alimentos,postres y dulces
478,0800101673,nutrición,alimentos,cereales y harinas
479,08014azul,higiene y cuidado personal,pies,callos
480,08014gris,higiene y cuidado personal,pies,callos
481,08014verde,higiene y cuidado personal,pies,callos
482,081.1,higiene y cuidado personal,cabello,mascarillas
483,083763,higiene y cuidado personal,dental,colutorios
484,088419,cosmética y belleza,hombres,afeitado masculino
485,0890318,salud,vitaminas y minerales,suplementos
491,09021,higiene y cuidado personal,corporal,depilatorios
492,092817,higiene y cuidado personal,corporal,pastilla de jabón
493,092923,higiene y cuidado personal,corporal,geles
494,092CS,infantil,chupetes,chupetes de silicona
495,093CUSI,infantil,mobiliario y descanso del bebé,colchones
496,099.0015,infantil,lactancia,sacaleches
497,099.0271,infantil,lactancia,sacaleches
498,099.0275,infantil,lactancia,sacaleches
499,0A15985,cosmética y belleza,perfumería,mujer
500,0A16070,cosmética y belleza,sol,protectores solares
501,0A20396,cosmética y belleza,facial,antiarrugas
502,0A23892,cosmética y belleza,sol,solar pelo
503,0A24560,cosmética y belleza,perfumería,mujer
504,0A25879,cosmética y belleza,hombres,antiarrugas hombre
505,0A25934,cosmética y belleza,sol,after-sun
506,0A27785,cosmética y belleza,corporal,hidratación
507,0A29066,cosmética y belleza,perfumería,mujer
508,0A32069,cosmética y belleza,ojos,contorno de ojos
509,0A32317,cosmética y belleza,labial,hidratantes labiales
510,0A34492,higiene y cuidado personal,corporal,desodorantes
511,0A34505,higiene y cuidado personal,corporal,exfoliantes
512,0A36623,cosmética y belleza,manos,crema de manos
513,0A36765,cosmética y belleza,sol,protectores solares
514,0A41212,cosmética y belleza,facial,hidratantes
515,0A41227,cosmética y belleza,facial,hidratantes
516,0A41231,cosmética y belleza,facial,piel seca
517,0A41246,higiene y cuidado personal,facial,mascarillas
518,0A41250,cosmética y belleza,facial,hidratantes
519,0A41265,cosmética y belleza,facial,piel seca
520,0A41284,cosmética y belleza,facial,serum
521,0A41617,cosmética y belleza,corporal,hidratación
522,0A42094,higiene y cuidado personal,corporal,geles
523,0A45158,cosmética y belleza,corporal,hidratación
524,0A45872,higiene y cuidado personal,corporal,geles
525,0A45995,higiene y cuidado personal,facial,exfoliantes
526,0A46004,cosmética y belleza,facial,hidratantes
527,0A46019,higiene y cuidado personal,facial,desmaquillantes y limpiadores
528,0A46216,cosmética y belleza,facial,antiarrugas
529,0A46254,cosmética y belleza,facial,antiarrugas
530,0A46269,cosmética y belleza,facial,antiarrugas
531,0A46273,cosmética y belleza,facial,antiarrugas
532,0A46288,cosmética y belleza,ojos,contorno de ojos
533,0A46998,cosmética y belleza,perfumería,mujer
534,0A47721,cosmética y belleza,facial,hidratantes
535,0A47755,cosmética y belleza,facial,hidratantes
536,0A47774,cosmética y belleza,ojos,contorno de ojos
537,0A47793,cosmética y belleza,facial,hidratantes
538,0A47810,cosmética y belleza,facial,hidratantes
539,0A49074,cosmética y belleza,ojos,contorno de ojos
540,0A49089,cosmética y belleza,facial,antiarrugas
541,0A49093,cosmética y belleza,facial,antiarrugas
542,0A49110,cosmética y belleza,facial,antiarrugas
543,0A49144,cosmética y belleza,facial,antiarrugas
544,1.1,infantil,higiene infantil,canastillas y kits bebé
545,10-10-20-139,cosmética y belleza,manos,crema de manos
546,10-10-20-141,cosmética y belleza,manos,crema de manos
547,10-10-60-246,salud,aparato respiratorio,garganta y tos
548,10-10-60-247,salud,aparato respiratorio,garganta y tos
549,10-10-60-248,salud,aparato respiratorio,garganta y tos
550,10-10-60-249,salud,aparato respiratorio,garganta y tos
551,10-22-00-132,higiene y cuidado personal,facial,desmaquillantes y limpiadores
552,10-22-03-518,cosmética y belleza,facial,antiarrugas
553,10-22-12-259,higiene y cuidado personal,corporal,geles
554,10-22-44-123,higiene y cuidado personal,facial,mascarillas
555,10-22-44-124,higiene y cuidado personal,facial,mascarillas
556,10-30-01-323,cosmética y belleza,sol,protectores solares
557,10-30-01-820,cosmética y belleza,sol,aceite solar
558,10-30-01-821,cosmética y belleza,sol,protectores solares
559,10-30-01-822,cosmética y belleza,sol,protección nieve
560,10-30-01-823,higiene y cuidado personal,cabello,peinado y tratamiento
561,10-30-01-826,cosmética y belleza,sol,protectores solares
562,10-30-01-827,cosmética y belleza,sol,protección nieve
563,10-30-01-828,cosmética y belleza,sol,protectores solares
564,10-30-01-829,cosmética y belleza,sol,protectores solares
565,10-30-01-830,cosmética y belleza,facial,antiarrugas
566,10-30-01-832,cosmética y belleza,facial,antimanchas
567,10-30-01-833,cosmética y belleza,facial,antimanchas
568,10.10.07.019,higiene y cuidado personal,cabello,mascarillas
569,10.10.07.020,higiene y cuidado personal,cabello,mascarillas
570,10.10.07.022,higiene y cuidado personal,cabello,anticaspa
571,10.10.07.023,higiene y cuidado personal,cabello,peinado y tratamiento
572,10.10.08.114,higiene y cuidado personal,cabello,anticaída
573,10.10.08.116,higiene y cuidado personal,cabello,anticaspa
574,10.10.08.117,higiene y cuidado personal,cabello,anticaspa
575,10.10.08.118,higiene y cuidado personal,cabello,champús especiales
576,10.10.08.119,higiene y cuidado personal,cabello,champu
577,10.10.08.120,higiene y cuidado personal,cabello,champu
578,10.10.08.121,higiene y cuidado personal,cabello,champu
579,10.10.08.122,higiene y cuidado personal,cabello,antigrasa
580,10.10.08.124,higiene y cuidado personal,cabello,champu
581,10.10.08.125,higiene y cuidado personal,cabello,champús especiales
582,10.10.08.126,higiene y cuidado personal,cabello,champu
